fecha,año,mes,nombre_mes,dia_semana,semana
2024-01-02,2024,1,January,Tuesday,1
2024-01-04,2024,1,January,Thursday,1
2024-01-06,2024,1,January,Saturday,1
2024-01-08,2024,1,January,Monday,2
2024-01-09,2024,1,January,Tuesday,2
2024-01-10,2024,1,January,Wednesday,2
2024-01-12,2024,1,January,Friday,2
2024-01-13,2024,1,January,Saturday,2
2024-01-18,2024,1,January,Thursday,3
2024-01-19,2024,1,January,Friday,3
2024-01-20,2024,1,January,Saturday,3
2024-01-23,2024,1,January,Tuesday,4
2024-01-24,2024,1,January,Wednesday,4
2024-01-25,2024,1,January,Thursday,4
2024-01-26,2024,1,January,Friday,4
2024-01-29,2024,1,January,Monday,5
2024-01-30,2024,1,January,Tuesday,5
2024-02-02,2024,2,February,Friday,5
2024-02-04,2024,2,February,Sunday,5
2024-02-06,2024,2,February,Tuesday,6
2024-02-07,2024,2,February,Wednesday,6
2024-02-09,2024,2,February,Friday,6
2024-02-12,2024,2,February,Monday,7
2024-02-13,2024,2,February,Tuesday,7
2024-02-16,2024,2,February,Friday,7
2024-02-17,2024,2,February,Saturday,7
2024-02-18,2024,2,February,Sunday,7
2024-02-19,2024,2,February,Monday,8
2024-02-20,2024,2,February,Tuesday,8
2024-02-21,2024,2,February,Wednesday,8
2024-02-23,2024,2,February,Friday,8
2024-02-25,2024,2,February,Sunday,8
2024-02-27,2024,2,February,Tuesday,9
2024-03-03,2024,3,March,Sunday,9
2024-03-05,2024,3,March,Tuesday,10
2024-03-06,2024,3,March,Wednesday,10
2024-03-07,2024,3,March,Thursday,10
2024-03-08,2024,3,March,Friday,10
2024-03-09,2024,3,March,Saturday,10
2024-03-11,2024,3,March,Monday,11
2024-03-13,2024,3,March,Wednesday,11
2024-03-14,2024,3,March,Thursday,11
2024-03-17,2024,3,March,Sunday,11
2024-03-18,2024,3,March,Monday,12
2024-03-21,2024,3,March,Thursday,12
2024-03-24,2024,3,March,Sunday,12
2024-03-25,2024,3,March,Monday,13
2024-03-26,2024,3,March,Tuesday,13
2024-03-28,2024,3,March,Thursday,13
2024-03-29,2024,3,March,Friday,13
2024-04-04,2024,4,April,Thursday,14
2024-04-10,2024,4,April,Wednesday,15
2024-04-12,2024,4,April,Friday,15
2024-04-18,2024,4,April,Thursday,16
2024-04-20,2024,4,April,Saturday,16
2024-04-21,2024,4,April,Sunday,16
2024-04-26,2024,4,April,Friday,17
2024-04-28,2024,4,April,Sunday,17
2024-04-29,2024,4,April,Monday,18
2024-04-30,2024,4,April,Tuesday,18
2024-05-01,2024,5,May,Wednesday,18
2024-05-04,2024,5,May,Saturday,18
2024-05-05,2024,5,May,Sunday,18
2024-05-06,2024,5,May,Monday,19
2024-05-08,2024,5,May,Wednesday,19
2024-05-10,2024,5,May,Friday,19
2024-05-13,2024,5,May,Monday,20
2024-05-15,2024,5,May,Wednesday,20
2024-05-16,2024,5,May,Thursday,20
2024-05-17,2024,5,May,Friday,20
2024-05-19,2024,5,May,Sunday,20
2024-05-20,2024,5,May,Monday,21
2024-05-21,2024,5,May,Tuesday,21
2024-05-22,2024,5,May,Wednesday,21
2024-05-23,2024,5,May,Thursday,21
2024-05-26,2024,5,May,Sunday,21
2024-05-28,2024,5,May,Tuesday,22
2024-05-29,2024,5,May,Wednesday,22
2024-05-30,2024,5,May,Thursday,22
2024-06-01,2024,6,June,Saturday,22
2024-06-02,2024,6,June,Sunday,22
2024-06-04,2024,6,June,Tuesday,23
2024-06-06,2024,6,June,Thursday,23
2024-06-08,2024,6,June,Saturday,23
2024-06-11,2024,6,June,Tuesday,24
2024-06-14,2024,6,June,Friday,24
2024-06-16,2024,6,June,Sunday,24
2024-06-17,2024,6,June,Monday,25
2024-06-19,2024,6,June,Wednesday,25
2024-06-21,2024,6,June,Friday,25
2024-06-25,2024,6,June,Tuesday,26
2024-06-27,2024,6,June,Thursday,26
2024-06-28,2024,6,June,Friday,26
