id_venta,id_producto,cantidad
1,19,1
1,35,2
1,92,2
1,39,3
1,57,2
2,66,3
2,79,1
2,44,2
2,64,1
2,48,1
3,79,1
3,29,1
3,69,1
3,50,3
3,44,2
4,55,3
4,77,3
4,14,3
4,62,2
4,10,1
5,38,1
6,16,1
6,41,2
6,47,2
7,38,2
7,11,2
7,60,3
7,19,3
8,12,2
9,91,1
9,28,2
9,9,1
10,73,1
10,60,3
10,96,2
11,11,1
12,2,2
12,76,1
12,35,2
13,54,3
13,49,1
13,64,3
13,21,2
14,8,3
15,1,1
15,42,1
16,10,2
16,12,1
17,39,2
17,76,3
17,29,1
17,81,3
18,89,2
18,44,2
18,64,1
19,12,2
19,61,3
19,29,1
20,76,1
21,15,3
21,59,3
21,98,1
21,36,1
21,8,2
22,48,2
23,5,2
23,42,1
24,24,3
24,67,1
24,23,2
25,19,3
25,34,3
25,82,1
26,89,1
26,94,2
26,55,3
26,38,3
27,98,1
27,82,2
27,96,2
28,33,1
28,29,3
28,95,2
28,83,1
28,44,1
29,54,2
29,69,1
29,75,2
29,68,3
30,30,2
30,57,2
31,63,3
31,68,2
32,52,3
32,43,3
32,64,3
32,57,1
32,72,3
33,62,1
33,41,2
33,79,3
34,95,1
35,39,2
35,33,2
35,76,2
35,82,1
35,34,1
36,82,2
36,27,3
36,41,3
37,67,1
37,37,2
37,11,1
38,76,2
38,48,1
38,90,1
38,63,2
39,55,1
39,68,2
39,42,3
39,23,2
39,29,2
40,63,3
41,29,3
42,92,2
42,30,1
42,31,1
42,66,1
42,35,3
43,54,1
43,15,3
44,91,1
44,88,2
44,69,3
44,68,3
44,95,3
45,31,3
45,28,1
45,55,3
46,52,2
47,25,1
48,44,1
48,62,1
48,19,2
48,55,1
49,87,3
50,24,1
50,8,2
50,80,2
50,91,2
50,5,3
51,66,2
51,61,3
51,56,1
51,95,3
51,97,3
52,52,2
52,3,2
52,17,2
53,59,2
53,85,2
53,48,2
54,18,3
54,29,1
55,59,2
55,92,3
55,88,1
56,89,2
56,24,1
57,8,1
57,91,2
57,95,2
58,6,3
58,24,1
58,47,3
58,68,2
59,99,2
59,77,1
60,59,1
60,92,2
60,84,1
60,93,3
61,98,2
61,47,2
61,73,2
61,55,1
62,60,3
63,55,3
63,46,3
63,100,1
63,40,3
63,78,2
64,66,3
64,71,3
64,5,1
64,47,3
64,58,3
65,18,2
66,11,1
66,44,2
67,59,1
67,88,3
68,18,2
68,73,2
68,72,2
68,9,2
68,55,2
69,66,2
69,5,3
69,90,2
69,49,1
70,59,2
71,14,3
72,59,2
72,25,3
73,87,1
73,81,3
74,67,2
74,63,2
75,34,3
75,25,1
75,60,2
76,30,3
76,25,3
76,3,2
76,86,2
77,46,1
77,89,1
77,22,2
77,83,3
78,62,2
78,9,3
78,25,3
79,33,2
79,24,2
79,54,2
79,64,2
80,22,3
80,35,2
80,55,1
80,51,3
80,18,2
81,10,2
82,87,2
82,91,2
83,13,1
83,85,1
83,22,1
84,4,3
84,6,1
85,1,3
85,53,2
85,33,1
86,16,2
86,29,3
86,73,2
86,46,2
87,22,1
87,69,2
87,15,2
87,24,3
88,51,3
88,23,1
88,38,2
88,66,2
89,53,2
89,10,3
89,56,2
89,13,3
90,75,2
90,62,3
90,18,2
91,36,1
91,99,2
91,49,3
91,98,2
92,34,2
92,69,2
93,55,1
93,90,2
93,27,2
93,78,3
94,22,3
94,66,2
94,19,3
94,56,1
95,73,3
95,61,3
96,8,3
96,53,1
96,78,3
96,15,3
97,95,1
97,15,3
98,25,1
98,50,3
98,59,1
99,21,3
99,1,3
99,8,2
100,10,3
100,11,2
100,3,1
100,5,2
100,90,3
101,73,1
101,43,2
101,45,2
101,33,2
102,49,3
102,90,2
102,83,2
102,93,1
102,9,3
103,87,3
103,99,1
103,22,2
103,34,2
104,1,3
105,9,2
105,10,2
105,37,1
105,50,2
105,93,2
106,27,3
106,48,3
106,67,3
106,20,3
106,25,2
107,32,2
108,6,3
108,8,1
108,48,2
109,8,1
109,87,1
109,53,1
110,62,1
110,40,1
111,75,2
111,91,3
112,51,2
112,12,2
112,99,2
113,26,1
113,100,3
113,83,3
113,98,1
113,35,3
114,68,3
114,32,2
115,84,2
115,20,2
115,97,2
115,67,1
115,26,3
116,72,2
117,13,2
117,99,3
118,6,1
118,79,2
119,75,3
119,9,3
119,61,2
119,58,2
120,11,1
120,78,3
120,34,3
120,57,2
