id_venta,fecha,id_cliente,medio_pago,id_producto
1,2024-06-19,62,tarjeta,91
2,2024-03-17,49,qr,52
3,2024-01-13,20,tarjeta,87
4,2024-02-27,36,transferencia,81
5,2024-06-11,56,tarjeta,64
6,2024-05-05,91,transferencia,58
7,2024-05-06,92,efectivo,100
8,2024-01-06,66,transferencia,59
9,2024-01-20,86,efectivo,78
10,2024-05-28,52,qr,70
11,2024-04-10,20,qr,40
12,2024-06-28,96,efectivo,46
13,2024-01-24,6,tarjeta,97
14,2024-04-18,67,qr,20
15,2024-06-27,56,transferencia,67
16,2024-04-12,2,efectivo,32
17,2024-02-17,88,efectivo,62
18,2024-06-11,81,qr,14
19,2024-06-11,80,efectivo,10
20,2024-01-13,75,tarjeta,44
21,2024-06-19,10,transferencia,8
22,2024-05-08,64,transferencia,85
23,2024-05-16,78,transferencia,38
24,2024-06-14,55,tarjeta,95
25,2024-04-30,13,transferencia,14
26,2024-01-23,49,efectivo,100
27,2024-02-25,9,transferencia,37
28,2024-05-20,52,qr,14
29,2024-02-20,49,qr,35
30,2024-03-03,93,efectivo,98
31,2024-05-22,19,tarjeta,30
32,2024-01-30,31,efectivo,96
33,2024-02-13,6,efectivo,19
34,2024-01-13,58,transferencia,75
35,2024-05-30,61,efectivo,45
36,2024-06-25,5,tarjeta,84
37,2024-05-17,57,qr,30
38,2024-05-29,56,tarjeta,8
39,2024-03-05,5,efectivo,52
40,2024-05-13,15,efectivo,98
41,2024-03-08,29,tarjeta,57
42,2024-04-18,12,tarjeta,38
43,2024-02-18,23,efectivo,43
44,2024-02-21,21,efectivo,43
45,2024-01-19,15,efectivo,19
46,2024-03-25,46,tarjeta,38
47,2024-05-04,52,transferencia,69
48,2024-01-26,84,qr,49
49,2024-06-02,5,efectivo,16
50,2024-01-09,8,transferencia,45
51,2024-02-18,39,efectivo,63
52,2024-05-10,5,tarjeta,82
53,2024-01-25,56,tarjeta,19
54,2024-03-26,1,tarjeta,44
55,2024-01-04,100,qr,87
56,2024-06-14,15,qr,30
57,2024-01-10,34,efectivo,79
58,2024-02-04,48,transferencia,27
59,2024-04-28,62,tarjeta,26
60,2024-04-04,81,transferencia,39
61,2024-06-01,27,efectivo,43
62,2024-05-01,100,transferencia,75
63,2024-06-19,25,tarjeta,96
64,2024-03-07,58,qr,7
65,2024-04-30,30,qr,35
66,2024-03-14,69,qr,16
67,2024-03-21,66,efectivo,62
68,2024-06-28,27,qr,8
69,2024-01-06,42,qr,31
70,2024-02-02,41,transferencia,78
71,2024-06-02,40,qr,86
72,2024-02-17,26,qr,84
73,2024-05-16,42,transferencia,85
74,2024-04-26,56,efectivo,100
75,2024-05-23,61,qr,59
76,2024-05-15,75,tarjeta,12
77,2024-05-26,55,tarjeta,31
78,2024-04-29,12,qr,60
79,2024-06-06,57,qr,20
80,2024-03-25,54,efectivo,72
81,2024-03-09,49,transferencia,77
82,2024-01-25,19,tarjeta,48
83,2024-05-28,91,efectivo,73
84,2024-01-02,72,efectivo,97
85,2024-01-23,42,transferencia,37
86,2024-01-10,40,efectivo,8
87,2024-04-20,100,qr,86
88,2024-06-21,37,efectivo,79
89,2024-01-18,17,tarjeta,57
90,2024-01-08,46,qr,75
91,2024-02-19,39,efectivo,32
92,2024-02-09,42,transferencia,84
93,2024-01-29,90,efectivo,100
94,2024-03-06,41,qr,47
95,2024-02-25,26,qr,14
96,2024-02-23,83,tarjeta,69
97,2024-06-16,39,efectivo,16
98,2024-01-12,43,transferencia,3
99,2024-03-13,51,transferencia,69
100,2024-06-08,69,qr,94
101,2024-03-28,72,efectivo,5
102,2024-03-29,18,efectivo,47
103,2024-03-11,39,efectivo,23
104,2024-06-17,86,qr,82
105,2024-02-06,1,transferencia,4
106,2024-03-24,82,transferencia,19
107,2024-05-21,14,efectivo,10
108,2024-03-25,9,tarjeta,66
109,2024-06-04,64,transferencia,92
110,2024-05-19,92,efectivo,88
111,2024-02-12,48,efectivo,14
112,2024-01-19,28,tarjeta,47
113,2024-03-08,98,transferencia,36
114,2024-05-05,16,qr,80
115,2024-02-16,3,transferencia,58
116,2024-03-18,25,qr,81
117,2024-03-14,72,tarjeta,85
118,2024-02-09,84,efectivo,77
119,2024-02-07,51,qr,99
120,2024-04-21,72,tarjeta,4
