y_real,y_pred_rf,error
9753,17208.441511904766,-7455.441511904766
52752,55039.504896825405,-2287.504896825405
241133,211060.23876190477,30072.761238095234
43875,59396.00694047619,-15521.006940476189
185368,182904.75250000003,2463.2474999999686
35440,54319.39063095237,-18879.390630952374
29124,56251.883297619046,-27127.883297619046
106920,92137.89288095238,14782.107119047621
280240,221932.01121825393,58307.98878174607
99645,78895.81915079366,20749.180849206343
146490,131608.1540797258,14881.845920274209
349320,266213.5972301588,83106.4027698412
303600,255563.0546150793,48036.94538492069
73125,86694.96154761905,-13569.961547619052
48060,52353.894595238104,-4293.894595238104
128310,114255.05007142854,14054.949928571456
182470,171341.4133809524,11128.586619047594
243880,206598.9980595238,37281.00194047621
216960,192533.08405952383,24426.915940476174
58957,64283.82554761905,-5326.825547619053
216811,192404.44475000005,24406.555249999947
80784,78873.22382936507,1910.7761706349265
290280,215491.84984523815,74788.15015476185
204500,196855.5619047619,7644.438095238089
